protein1,protein2,pred
PF3D7_1441200,PF3D7_1338200,0.992965459427476
PF3D7_1441200,PF3D7_0422400,0.944883654596117
PF3D7_1441200,PF3D7_1424400,0.936459551378596
PF3D7_1441200,PF3D7_1414300,0.936065457347957
PF3D7_1441200,PF3D7_1426000,0.865040675952382
PF3D7_1441200,PF3D7_0814000,0.801976342566011
PF3D7_1441200,PF3D7_0507100,0.91131556711914
PF3D7_1441200,PF3D7_1323100,0.909834277538994
PF3D7_1441200,PF3D7_1421200,0.897570337723723
PF3D7_1441200,PF3D7_1342000,0.895926984305514
PF3D7_1441200,PF3D7_1323400,0.740533373586602
PF3D7_1441200,PF3D7_0618300,0.88062678864513
PF3D7_1441200,PF3D7_0317600,0.871126851169235
PF3D7_1441200,PF3D7_1130100,0.863255192633592
PF3D7_1441200,PF3D7_1109900,0.839891711906615
PF3D7_1441200,PF3D7_1465900,0.675086189947248
PF3D7_1441200,PF3D7_0520000,0.840157358845163
PF3D7_1441200,PF3D7_1130200,0.824274249584492
PF3D7_1441200,PF3D7_1242700,0.683535871706144
PF3D7_1441200,PF3D7_1358800,0.716469280078359
PF3D7_1441200,PF3D7_1027800,0.806991515914957
PF3D7_1441200,PF3D7_1142600,0.805570592594109
PF3D7_1441200,PF3D7_1408600,0.645232013905067
PF3D7_1441200,PF3D7_0312800,0.80185335605364
PF3D7_1441200,PF3D7_1341300,0.794582916918458
PF3D7_1441200,PF3D7_0821700,0.762822958420101
PF3D7_1441200,PF3D7_1341200,0.765000071240393
PF3D7_1441200,PF3D7_1124900,0.758600029329835
PF3D7_1441200,PF3D7_1126200,0.696989183139727
PF3D7_1441200,PF3D7_0516900,0.679232966194383
PF3D7_1441200,PF3D7_0614500,0.75383506455029
PF3D7_1441200,PF3D7_1431700,0.752362738629034
PF3D7_1441200,PF3D7_1460700,0.557463693715641
PF3D7_1441200,PF3D7_1004000,0.585412038658529
PF3D7_1441200,PF3D7_1351400,0.626580315065609
PF3D7_1441200,PF3D7_0813900,0.564574954092015
PF3D7_1441200,PF3D7_1331800,0.572020948765609
