protein1,protein2,pred
PF3D7_0214000,PF3D7_0306800,0.986850044922889
PF3D7_0214000,PF3D7_1132200,0.939927445995494
PF3D7_0214000,PF3D7_0320300,0.962669364739875
PF3D7_0214000,PF3D7_1357800,0.960267396029588
PF3D7_0214000,PF3D7_1229500,0.865083152815667
PF3D7_0214000,PF3D7_0308200,0.858203861278767
PF3D7_0214000,PF3D7_0608700,0.759812403550474
PF3D7_0214000,PF3D7_1451100,0.106171775590678
PF3D7_0306800,PF3D7_1132200,0.98286147833285
PF3D7_0306800,PF3D7_0320300,0.927612132288214
PF3D7_0306800,PF3D7_1357800,0.892487700276311
PF3D7_0306800,PF3D7_1229500,0.884620134624398
PF3D7_0306800,PF3D7_0308200,0.876849272407943
PF3D7_0306800,PF3D7_0608700,0.738466330675049
PF3D7_0306800,PF3D7_1420400,0.176109740516364
PF3D7_1132200,PF3D7_0320300,0.962495432298748
PF3D7_1132200,PF3D7_1357800,0.927449337655298
PF3D7_1132200,PF3D7_1229500,0.804716242867666
PF3D7_1132200,PF3D7_0308200,0.87921624363809
PF3D7_1132200,PF3D7_0608700,0.710272869363246
PF3D7_0320300,PF3D7_1357800,0.926012053709833
PF3D7_0320300,PF3D7_1229500,0.826233128950907
PF3D7_0320300,PF3D7_0308200,0.92225905059725
PF3D7_0320300,PF3D7_0608700,0.716076667003443
PF3D7_1357800,PF3D7_1229500,0.956215171991531
PF3D7_1357800,PF3D7_0308200,0.840915172540533
PF3D7_1357800,PF3D7_0608700,0.886810002776068
PF3D7_1229500,PF3D7_0308200,0.658952237851221
PF3D7_1229500,PF3D7_0608700,0.935756905798609
PF3D7_1229500,PF3D7_1420400,0.159773519495532
PF3D7_0308200,PF3D7_0608700,0.567243751875736
PF3D7_0608700,PF3D7_1420400,0.152138285502944
PF3D7_0517000,PF3D7_1019400,0.965865714879805
PF3D7_0517000,PF3D7_1460700,0.917825197466221
PF3D7_0517000,PF3D7_1424100,0.913288186720914
PF3D7_0517000,PF3D7_1124900,0.734604348553269
PF3D7_0517000,PF3D7_1431700,0.834408236522304
PF3D7_0517000,PF3D7_0814000,0.861627437517148
PF3D7_0517000,PF3D7_1027800,0.827325062273718
PF3D7_0517000,PF3D7_1130100,0.636436206334777
PF3D7_0517000,PF3D7_1323400,0.789490177848437
PF3D7_0517000,PF3D7_1323100,0.743658052246525
PF3D7_0517000,PF3D7_1414300,0.738553021493491
PF3D7_0517000,PF3D7_1441200,0.694665855522632
PF3D7_0517000,PF3D7_1004000,0.720357598879443
PF3D7_0517000,PF3D7_0422400,0.700709472461626
PF3D7_0517000,PF3D7_0618300,0.658494643609806
PF3D7_0517000,PF3D7_1142600,0.649149740800742
PF3D7_0517000,PF3D7_1342000,0.626657590549639
PF3D7_0517000,PF3D7_0706400,0.629340284527559
PF3D7_0517000,PF3D7_1105400,0.617013224707952
PF3D7_0517000,PF3D7_1461300,0.578068303101865
PF3D7_0517000,PF3D7_1331800,0.573046108079059
PF3D7_0517000,PF3D7_0614500,0.527658411560641
PF3D7_0517000,PF3D7_0813900,0.461688083592647
PF3D7_0517000,PF3D7_1421200,0.489009838033947
PF3D7_0517000,PF3D7_0507100,0.477487679602963
PF3D7_0517000,PF3D7_0710600,0.47160139020924
PF3D7_0517000,PF3D7_1358800,0.432356420412909
PF3D7_0517000,PF3D7_0322900,0.43608042599173
PF3D7_0517000,PF3D7_1242700,0.430613369859648
PF3D7_0517000,PF3D7_1351400,0.417550734048054
PF3D7_0517000,PF3D7_0415900,0.388401124790334
PF3D7_0517000,PF3D7_1126200,0.399654592061868
PF3D7_0517000,PF3D7_1338200,0.359530421274485
PF3D7_0517000,PF3D7_0307200,0.177864471712498
PF3D7_0517000,PF3D7_1424400,0.20640928473706
PF3D7_0517000,PF3D7_1426000,0.196628613871244
PF3D7_0517000,PF3D7_1109900,0.280430330244479
PF3D7_0517000,PF3D7_1142500,0.424439220864931
PF3D7_1019400,PF3D7_1460700,0.926782504350531
PF3D7_1019400,PF3D7_1424100,0.818738651648361
PF3D7_1019400,PF3D7_1124900,0.879842912234284
PF3D7_1019400,PF3D7_1431700,0.872324084913087
