protein1,protein2,pred
PF3D7_0507100,PF3D7_1341200,0.995499726907251
PF3D7_0507100,PF3D7_1338200,0.912608864709776
PF3D7_0507100,PF3D7_0618300,0.94317314902223
PF3D7_0507100,PF3D7_1424100,0.914726034923698
PF3D7_0507100,PF3D7_0903900,0.695500614505032
PF3D7_0507100,PF3D7_1341300,0.826095072824732
PF3D7_0507100,PF3D7_0415900,0.867616097889259
PF3D7_0507100,PF3D7_1351400,0.866872970822901
PF3D7_0507100,PF3D7_1130100,0.858317944435128
PF3D7_0507100,PF3D7_1331800,0.832436436810056
PF3D7_0507100,PF3D7_1124900,0.80074769955482
PF3D7_0507100,PF3D7_0210100,0.715617838430763
PF3D7_1341200,PF3D7_1338200,0.958088392896401
PF3D7_1341200,PF3D7_0618300,0.877931870731983
PF3D7_1341200,PF3D7_1424100,0.898933369922465
PF3D7_1341200,PF3D7_0903900,0.886663381234502
PF3D7_1341200,PF3D7_1341300,0.868203368980177
PF3D7_1341200,PF3D7_0415900,0.78659664811259
PF3D7_1341200,PF3D7_1351400,0.817391358427528
PF3D7_1341200,PF3D7_1130100,0.752719814643728
PF3D7_1341200,PF3D7_1331800,0.85672411936611
PF3D7_1341200,PF3D7_1124900,0.843453420369128
PF3D7_1341200,PF3D7_0210100,0.769016245446121
PF3D7_1338200,PF3D7_0618300,0.883017390394674
PF3D7_1338200,PF3D7_1424100,0.867619690529027
PF3D7_1338200,PF3D7_0903900,0.857629281873626
PF3D7_1338200,PF3D7_1341300,0.773150692078197
PF3D7_1338200,PF3D7_0415900,0.65055593068629
PF3D7_1338200,PF3D7_1351400,0.886912113989811
PF3D7_1338200,PF3D7_1130100,0.884888867872485
PF3D7_1338200,PF3D7_1331800,0.785232849196208
PF3D7_1338200,PF3D7_1124900,0.90059970025242
PF3D7_1338200,PF3D7_0210100,0.706593853901253
PF3D7_0618300,PF3D7_1424100,0.840437078023959
PF3D7_0618300,PF3D7_0903900,0.643922622924804
PF3D7_0618300,PF3D7_1341300,0.646211629963313
PF3D7_0618300,PF3D7_0415900,0.864294269528125
PF3D7_0618300,PF3D7_1351400,0.917127715879517
PF3D7_0618300,PF3D7_1130100,0.900879755814498
PF3D7_0618300,PF3D7_1331800,0.83738640124403
PF3D7_0618300,PF3D7_1124900,0.785711899697777
PF3D7_0618300,PF3D7_0210100,0.640652900812159
PF3D7_1424100,PF3D7_0903900,0.768889178447413
PF3D7_1424100,PF3D7_1341300,0.754863730987786
PF3D7_1424100,PF3D7_0415900,0.600925884059417
PF3D7_1424100,PF3D7_1351400,0.869432833603386
PF3D7_1424100,PF3D7_1130100,0.792394597394269
PF3D7_1424100,PF3D7_1331800,0.694739930036025
PF3D7_1424100,PF3D7_1124900,0.734448656573495
PF3D7_1424100,PF3D7_0210100,0.661412317257257
PF3D7_0903900,PF3D7_1341300,0.579785908661311
PF3D7_0903900,PF3D7_0415900,0.648129978959265
PF3D7_0903900,PF3D7_1351400,0.799004034127722
PF3D7_0903900,PF3D7_1130100,0.65431765598697
PF3D7_0903900,PF3D7_1331800,0.560545410543281
PF3D7_0903900,PF3D7_1124900,0.739826280033614
PF3D7_0903900,PF3D7_0210100,0.519072067767611
PF3D7_1341300,PF3D7_0415900,0.626147398952771
PF3D7_1341300,PF3D7_1351400,0.675026869964489
PF3D7_1341300,PF3D7_1130100,0.444802272393898
PF3D7_1341300,PF3D7_1331800,0.696455967260289
PF3D7_1341300,PF3D7_1124900,0.560674032153316
PF3D7_1341300,PF3D7_0210100,0.639741459401309
PF3D7_0415900,PF3D7_1351400,0.463580951760274
PF3D7_0415900,PF3D7_1130100,0.557734422595329
PF3D7_0415900,PF3D7_1331800,0.740450245557557
PF3D7_0415900,PF3D7_1124900,0.510577057218166
PF3D7_0415900,PF3D7_0210100,0.540700580115791
PF3D7_1351400,PF3D7_1130100,0.862287231806365
PF3D7_1351400,PF3D7_1331800,0.751273247149386
PF3D7_1351400,PF3D7_1124900,0.822324552203242
PF3D7_1351400,PF3D7_0210100,0.678830896675056
PF3D7_1130100,PF3D7_1331800,0.674479638904681
PF3D7_1130100,PF3D7_1124900,0.795360540508954
PF3D7_1130100,PF3D7_0210100,0.67701263489864
PF3D7_1331800,PF3D7_1124900,0.636237685843596
PF3D7_1331800,PF3D7_0210100,0.652848184748816
PF3D7_1124900,PF3D7_0210100,0.65742833925006
PF3D7_0322900,PF3D7_1126200,0.985648190066204
PF3D7_0322900,PF3D7_0317600,0.906985177395293
PF3D7_0322900,PF3D7_0813900,0.957433284491071
PF3D7_0322900,PF3D7_1358800,0.932441585485959
PF3D7_0322900,PF3D7_1421200,0.894688778897513
PF3D7_0322900,PF3D7_1342000,0.901174123300713
PF3D7_0322900,PF3D7_0316800,0.870748551588437
PF3D7_0322900,PF3D7_1105400,0.830491831177093
PF3D7_0322900,PF3D7_1026800,0.83032662066622
